Serial No.;Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Auftrag;MRP Contr.;Arbeitsplatz;Gewicht/1 ST [KG];Bedarfsmenge SD;Auftrag menge [TO];Gedrückt;Gedrückt [TO];Rest Presse;Rest Presse [TO];Oven/Furnace;Temprature;Prelim. Stage;MatVent.;Modellnummer;;;Quality;Quality-Version;YSOR vers.
4462;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072063;DF112/109.240_1 GES \ 2504 GES;1,1E+11;PR;P-SI-V10;20,905;415;8,947;435;9,094;-7;-0,146;HWO;1435.00;;1.00;M.-14270;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4463;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072064;DF112/109.360_1 GES \ 2505 GES;1,1E+11;PR;P-SI-H2;33,115;415;14,173;0;0;428;14,173;HWO;1435.00;;1.00;M.-15721;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4464;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072064;DF112/109.360_1 GES \ 2505 GES;1,1E+11;PR;P-SI-H2;33,115;415;14,173;435;14,405;-7;-0,232;HWO;1435.00;;1.00;M.-15721;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4465;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072065;DF113/108.240_3 GES \ 2506 GES;1,1E+11;PR;P-SI-H2;20,905;830;17,874;0;0;855;17,874;HWO;1435.00;;1.00;M.-9145;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4466;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072065;DF113/108.240_3 GES \ 2506 GES;1,1E+11;PR;P-SI-H2;20,905;830;17,874;870;18,187;-15;-0,314;HWO;1435.00;;1.00;M.-9145;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4467;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072066;DF113/108.360_1 GES \ 2507 GES;1,1E+11;PR;P-SI-H2;33,115;830;28,313;0;0;855;28,313;HWO;1435.00;;1.00;M.-15721A;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4468;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072066;DF113/108.360_1 GES \ 2507 GES;1,1E+11;PR;P-SI-H2;33,115;830;28,313;860;28,479;-5;-0,166;HWO;1435.00;;1.00;M.-15721A;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4469;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072067;ML650X205X205 Q98X-GF-H \ 2509 Q98X;1,1E+11;HF;HAND;26,815;15;0,429;0;0;16;0,429;HTO;900.00;;1.00;S26287;STANDARD,HANDFORM,> 25 KG, OHNE 120F;Q98X-GF-H-9.07703.604-S;900866;H001;'@5F@
4470;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072067;ML650X205X205 Q98X-GF-H \ 2509 Q98X;1,1E+11;HF;HAND;26,815;15;0,429;16;0,429;0;0;HTO;900.00;;1.00;S26287;STANDARD,HANDFORM,> 25 KG, OHNE 120F;Q98X-GF-H-9.07703.604-S;900866;H001;'@5F@
4471;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072068;2 GES \ 2 GES;1,1E+11;PR;P-SI-V9;3,67;2.300,00;8,694;0;0;2.369,00;8,694;HWO;1435.00;;3.00;M.-14781;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4472;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072068;2 GES \ 2 GES;1,1E+11;PR;P-SI-V9;3,67;2.300,00;8,694;2.430,00;8,918;-61;-0,224;HWO;1435.00;;3.00;M.-14781;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4473;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072116;500X180X160 GES \ 2508 GES;1,1E+11;PR;P-SI-L5;26,64;250;6,873;0;0;258;6,873;HWO;1435.00;;1.00;M.-15425D;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4474;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072116;500X180X160 GES \ 2508 GES;1,1E+11;PR;P-SI-L5;26,64;250;6,873;270;7,193;-12;-0,32;HWO;1435.00;;1.00;M.-15425D;STANDARD,NIEDRIGER FLUXFAKTOR;GES-9.04901.003-S;900576;H001;'@9V@
4475;0;520002124;0;TRIMET ALUMINIUM SE;07.10.2016;8100053316;2D-45 BB20 \ 2D-45 BB20;1,1E+11;PR;P-SA-L1;7,454;2.160,00;8,132;0;0;1.091,00;8,132;TOS;1270.00;;2.00;M.-8631C;AUTOMAT;BB20-9.55901.000-S;900511;H001;'@5F@
4476;0;520002124;0;TRIMET ALUMINIUM SE;07.10.2016;8100053316;2D-45 BB20 \ 2D-45 BB20;1,1E+11;PR;P-SA-L1;7,454;2.160,00;8,132;1.164,00;8,676;-73;-0,544;TOS;1270.00;;2.00;M.-8631C;AUTOMAT;BB20-9.55901.000-S;900511;H001;'@5F@
4477;0;520002124;0;TRIMET ALUMINIUM SE;04.11.2016;8100053316;2D-45 BB20 \ 2D-45 BB20;1,1E+11;PR;P-SA-L1;7,454;2.160,00;16,585;0;0;2.225,00;16,585;TOS;1270.00;;2.00;M.-8631C;AUTOMAT;BB20-9.55901.000-S;900511;H001;'@5F@
4478;0;520002124;0;TRIMET ALUMINIUM SE;04.11.2016;8100053316;2D-45 BB20 \ 2D-45 BB20;1,1E+11;PR;P-SA-L1;7,454;2.160,00;16,585;2.336,00;17,413;-111;-0,827;TOS;1270.00;;2.00;M.-8631C;AUTOMAT;BB20-9.55901.000-S;900511;H001;'@5F@
4479;0;520002124;0;TRIMET ALUMINIUM SE;02.12.2016;8100053316;2D-45 BB20 \ 2D-45 BB20;1,1E+11;PR;P-SA-L1;7,454;2.160,00;16,585;0;0;2.225,00;16,585;TOS;1270.00;;2.00;M.-8631C;AUTOMAT;BB20-9.55901.000-S;900511;H001;'@5F@
4480;0;520002124;0;TRIMET ALUMINIUM SE;02.12.2016;8100053316;2D-45 BB20 \ 2D-45 BB20;1,1E+11;PR;P-SA-L1;7,454;2.160,00;16,585;2.352,00;17,532;-127;-0,947;TOS;1270.00;;2.00;M.-8631C;AUTOMAT;BB20-9.55901.000-S;900511;H001;'@5F@
4481;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072132;500X500X200 Q98X-GF-H \ o.G.;1,1E+11;HF;HAND;86,5;145;0,26;0;0;3;0,26;HTO;900.00;;1.00;P28712;STANDARD,HANDFORM,> 25 KG, OHNE 120F;Q98X-GF-H-9.07703.604-S;900866;H001;'@5F@
4482;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072132;500X500X200 Q98X-GF-H \ o.G.;1,1E+11;HF;HAND;86,5;145;0,26;3;0,26;0;0;HTO;900.00;;1.00;P28712;STANDARD,HANDFORM,> 25 KG, OHNE 120F;Q98X-GF-H-9.07703.604-S;900866;H001;'@5F@
4483;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072132;500X500X200 Q98X-GF-H \ o.G.;1,1E+11;HF;HAND;86,5;640;1,211;0;0;14;1,211;HTO;900.00;;1.00;P28712;STANDARD,HANDFORM,> 25 KG, OHNE 120F;Q98X-GF-H-9.07703.604-S;900866;H001;'@5F@
4484;0;520002443;0;Guardian Flachglas GmbH;17.10.2016;8100072132;500X500X200 Q98X-GF-H \ o.G.;1,1E+11;HF;HAND;86,5;640;1,211;14;1,211;0;0;HTO;900.00;;1.00;P28712;STANDARD,HANDFORM,> 25 KG, OHNE 120F;Q98X-GF-H-9.07703.604-S;900866;H001;'@5F@
4485;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072192;2403-1 GEHQ-H \ 2403-1 GES;1,1E+11;HF;HAND;41,049;1;0,082;0;0;2;0,082;HWO;1435.00;;1.00;S26298A;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4486;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072192;2403-1 GEHQ-H \ 2403-1 GES;1,1E+11;HF;HAND;41,049;1;0,082;2;0,082;0;0;HWO;1435.00;;1.00;S26298A;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4487;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072193;2403-2 GEHQ-H \ 2403-2 GES;1,1E+11;HF;HAND;52,958;1;0,106;0;0;2;0,106;HWO;1435.00;;1.00;S26298;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4488;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072193;2403-2 GEHQ-H \ 2403-2 GES;1,1E+11;HF;HAND;52,958;1;0,106;2;0,106;0;0;HWO;1435.00;;1.00;S26298;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4489;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072196;2403-3 GEHQ-H \ 2403-3 GES;1,1E+11;HF;HAND;53,773;2;0,161;0;0;3;0,161;HWO;1435.00;;1.00;S26298B;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4490;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072196;2403-3 GEHQ-H \ 2403-3 GES;1,1E+11;HF;HAND;53,773;2;0,161;3;0,161;0;0;HWO;1435.00;;1.00;S26298B;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4491;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072197;2403-4 GEHQ-H \ 2403-4 GES;1,1E+11;HF;HAND;41,681;2;0,125;0;0;3;0,125;HWO;1435.00;;1.00;S26298C;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4492;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072197;2403-4 GEHQ-H \ 2403-4 GES;1,1E+11;HF;HAND;41,681;2;0,125;3;0,125;0;0;HWO;1435.00;;1.00;S26298C;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4493;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072198;2403-5 GEHQ-H \ 2403-5 GES;1,1E+11;HF;HAND;40,943;32;1,351;0;0;33;1,351;HWO;1435.00;;1.00;S26298D;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4494;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072198;2403-5 GEHQ-H \ 2403-5 GES;1,1E+11;HF;HAND;40,943;32;1,351;33;1,351;0;0;HWO;1435.00;;1.00;S26298D;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4495;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072199;2403-6 GEHQ-H \ 2403-6 GES;1,1E+11;HF;HAND;52,823;32;1,743;0;0;33;1,743;HWO;1435.00;;1.00;S26298E;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4496;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072199;2403-6 GEHQ-H \ 2403-6 GES;1,1E+11;HF;HAND;52,823;32;1,743;33;1,743;0;0;HWO;1435.00;;1.00;S26298E;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4497;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072200;2403-7 GEHQ-H \ 2403-7 GES;1,1E+11;HF;HAND;52,965;2;0,159;0;0;3;0,159;HWO;1435.00;;1.00;S26298F;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4498;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072200;2403-7 GEHQ-H \ 2403-7 GES;1,1E+11;HF;HAND;52,965;2;0,159;3;0,159;0;0;HWO;1435.00;;1.00;S26298F;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4499;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072201;2403-8 GEHQ-H \ 2403-8 GES;1,1E+11;HF;HAND;41,053;2;0,123;0;0;3;0,123;HWO;1435.00;;1.00;S26298G;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4500;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072201;2403-8 GEHQ-H \ 2403-8 GES;1,1E+11;HF;HAND;41,053;2;0,123;3;0,123;0;0;HWO;1435.00;;1.00;S26298G;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4501;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072206;2403-11 GEHQ-H \ 2403-11 GES;1,1E+11;HF;HAND;32,036;4;0,16;0;0;5;0,16;HWO;1435.00;;1.00;S26301;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4502;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072206;2403-11 GEHQ-H \ 2403-11 GES;1,1E+11;HF;HAND;32,036;4;0,16;5;0,16;0;0;HWO;1435.00;;1.00;S26301;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4503;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072207;2403-12 GEHQ-H \ 2403-12 GES;1,1E+11;HF;HAND;42,548;2;0,128;0;0;3;0,128;HWO;1435.00;;1.00;S26302;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4504;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072207;2403-12 GEHQ-H \ 2403-12 GES;1,1E+11;HF;HAND;42,548;2;0,128;3;0,128;0;0;HWO;1435.00;;1.00;S26302;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4505;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072208;2403-13 GEHQ-H \ 2403-13 GES;1,1E+11;HF;HAND;43,016;1;0,086;0;0;2;0,086;HWO;1435.00;;1.00;S26303;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4506;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072208;2403-13 GEHQ-H \ 2403-13 GES;1,1E+11;HF;HAND;43,016;1;0,086;2;0,086;0;0;HWO;1435.00;;1.00;S26303;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4507;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072209;2403-14 GEHQ-H \ 2403-14 GES;1,1E+11;HF;HAND;43,016;1;0,086;0;0;2;0,086;HWO;1435.00;;1.00;S26304;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4508;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072209;2403-14 GEHQ-H \ 2403-14 GES;1,1E+11;HF;HAND;43,016;1;0,086;2;0,086;0;0;HWO;1435.00;;1.00;S26304;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4509;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072203;2403-9 GEHQ-H \ 2403-9 GES;1,1E+11;HF;HAND;39,913;4;0,2;0;0;5;0,2;HWO;1435.00;;1.00;S26300;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4510;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072203;2403-9 GEHQ-H \ 2403-9 GES;1,1E+11;HF;HAND;39,913;4;0,2;5;0,2;0;0;HWO;1435.00;;1.00;S26300;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4511;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072203;2403-9 GEHQ-H \ 2403-9 GES;1,1E+11;HF;HAND;39,913;2;0,12;0;0;3;0,12;HWO;1435.00;;1.00;S26300;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4512;0;520002443;0;Guardian Flachglas GmbH;10.10.2016;8100072203;2403-9 GEHQ-H \ 2403-9 GES;1,1E+11;HF;HAND;39,913;2;0,12;3;0,12;0;0;HWO;1435.00;;1.00;S26300;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4513;0;;0;;;8100071647;F472X351X152 GEHQ-H \ 004-12-9 GEH;1,1E+11;HF;HAND;34,229;36;1,232;0;0;36;1,232;HWO;1435.00;;1.00;S26268;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4514;0;;0;;;8100071647;F472X351X152 GEHQ-H \ 004-12-9 GEH;1,1E+11;HF;HAND;34,229;36;1,232;47;1,609;-11;-0,377;HWO;1435.00;;1.00;S26268;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4515;0;;0;;;8100071646;NS533X254X152 GEHQ-H \ 004-12-11 GEH;1,1E+11;HF;HAND;33,205;16;0,531;0;0;16;0,531;HWO;1435.00;;1.00;S26269;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4516;0;;0;;;8100071646;NS533X254X152 GEHQ-H \ 004-12-11 GEH;1,1E+11;HF;HAND;33,205;16;0,531;35;1,162;-19;-0,631;HWO;1435.00;;1.00;S26269;STANDARD, GEH FORMATE >30KG, HANDFORM;GEHQ-H-9.04703.005-S;900575;H001;'@5F@
4517;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100070956;1-76 OT60K \ o.G.;1,1E+11;PR;P-SA-V4;5,142;13.246,00;68,79;0;0;13.378,00;68,79;TOS;1480.00;;3.00;M.-12355;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4518;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100070956;1-76 OT60K \ o.G.;1,1E+11;PR;P-SA-V4;5,142;13.246,00;68,79;13.890,00;71,422;-512;-2,633;TOS;1480.00;;3.00;M.-12355;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4519;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072644;WL305X229X76 OT70K-H \ WL305X229X76 R70S;1,1E+11;HF;HAND;10,117;40;0,425;0;0;42;0,425;MTO;1720.00;;0.00;P30720;HANDFORM, KAMMERRAHMEN, PD-R70S, HTO;OT70K-H-9.43003.003-S;900590;H001;'@5F@
4520;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072644;WL305X229X76 OT70K-H \ WL305X229X76 R70S;1,1E+11;HF;HAND;10,117;40;0,425;42;0,425;0;0;MTO;1720.00;;0.00;P30720;HANDFORM, KAMMERRAHMEN, PD-R70S, HTO;OT70K-H-9.43003.003-S;900590;H001;'@5F@
4521;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072645;WL448X311X102 OT70K-H \ WL448X311X102 R7;1,1E+11;HF;HAND;25,447;187;4,809;0;0;189;4,809;MTO;1720.00;;0.00;P30722;HANDFORM, KAMMERRAHMEN, PD-R70S, HTO;OT70K-H-9.43003.003-S;900590;H001;'@5F@
4522;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072645;WL448X311X102 OT70K-H \ WL448X311X102 R7;1,1E+11;HF;HAND;25,447;187;4,809;189;4,809;0;0;MTO;1720.00;;0.00;P30722;HANDFORM, KAMMERRAHMEN, PD-R70S, HTO;OT70K-H-9.43003.003-S;900590;H001;'@5F@
4523;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072646;WL286X286X102 OT70K-H \ WL286X286X102 R7;1,1E+11;HF;HAND;13,009;187;2,459;0;0;189;2,459;MTO;1720.00;;0.00;P30721;HANDFORM, KAMMERRAHMEN, PD-R70S, HTO;OT70K-H-9.43003.003-S;900590;H001;'@5F@
4524;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072646;WL286X286X102 OT70K-H \ WL286X286X102 R7;1,1E+11;HF;HAND;13,009;187;2,459;189;2,459;0;0;MTO;1720.00;;0.00;P30721;HANDFORM, KAMMERRAHMEN, PD-R70S, HTO;OT70K-H-9.43003.003-S;900590;H001;'@5F@
4525;0;520002560;0;ThyssenKrupp Steel Europe AG;19.10.2016;8100072651;MODUL-2A Q98X \ MODUL-2A Q98X;1,1E+11;PR;P-SI-V9;5,403;125;0,697;0;0;129;0,697;HTO;900.00;;1.00;M.-15078A;STANDARD, QUARZGUT;Q98X-9.07700.605-S;900638;H001;'@9V@
4526;0;520002560;0;ThyssenKrupp Steel Europe AG;19.10.2016;8100072651;MODUL-2A Q98X \ MODUL-2A Q98X;1,1E+11;PR;P-SI-V9;5,403;125;0,697;135;0,729;-6;-0,032;HTO;900.00;;1.00;M.-15078A;STANDARD, QUARZGUT;Q98X-9.07700.605-S;900638;H001;'@9V@
4527;0;520002227;0;Boyne Smelters Limited;01.09.2016;8100068209;B220-52 IK46VP \ B220-52 IK46VP;1,1E+11;PR;P-SA-L1;22,562;882;0,97;0;0;43;0,97;TOS;1460.00;;1.00;M.-15912B;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
4528;0;520002227;0;Boyne Smelters Limited;01.09.2016;8100068209;B220-52 IK46VP \ B220-52 IK46VP;1,1E+11;PR;P-SA-L1;22,562;882;0,97;77;1,737;-34;-0,767;TOS;1460.00;;1.00;M.-15912B;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
4529;0;520002514;0;BEROA Deutschland GmbH;11.10.2016;8100072595;5745 OFL148-H \ 5745 OFL148;1,1E+11;HF;HAND;2,661;55;0,149;0;0;56;0,149;MTO;1720.00;;1.00;P30713;STANDARD, HANDFORM;OFL148-H-9.69113.001-S;900599;H001;'@5F@
4530;0;520002514;0;BEROA Deutschland GmbH;11.10.2016;8100072595;5745 OFL148-H \ 5745 OFL148;1,1E+11;HF;HAND;2,661;55;0,149;56;0,149;0;0;MTO;1720.00;;1.00;P30713;STANDARD, HANDFORM;OFL148-H-9.69113.001-S;900599;H001;'@5F@
4531;0;520002514;0;BEROA Deutschland GmbH;11.10.2016;8100072593;5766 OFL148-H \ 5766 OFL148;1,1E+11;HF;HAND;1,617;58;0,095;0;0;59;0,095;MTO;1720.00;;1.00;P30714;STANDARD, HANDFORM;OFL148-H-9.69113.001-S;900599;H001;'@5F@
4532;0;520002514;0;BEROA Deutschland GmbH;11.10.2016;8100072593;5766 OFL148-H \ 5766 OFL148;1,1E+11;HF;HAND;1,617;58;0,095;59;0,095;0;0;MTO;1720.00;;1.00;P30714;STANDARD, HANDFORM;OFL148-H-9.69113.001-S;900599;H001;'@5F@
4533;0;520002514;0;BEROA Deutschland GmbH;11.10.2016;8100072596;4377 K99-H \ 4377 K99;1,1E+11;HF;HAND;43,847;4;0,132;0;0;3;0,132;MTO;1720.00;;1.00;P30715;STANDARD, HANDFORM;K99-H-9.69003.003-S;900522;H001;'@5F@
4534;0;520002514;0;BEROA Deutschland GmbH;11.10.2016;8100072596;4377 K99-H \ 4377 K99;1,1E+11;HF;HAND;43,847;4;0,132;3;0,132;0;0;MTO;1720.00;;1.00;P30715;STANDARD, HANDFORM;K99-H-9.69003.003-S;900522;H001;'@5F@
4535;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072669;1L-76 OT60K \ 1L-76 PD-R60S;1,1E+11;PR;P-SA-L3;7,712;2.489,00;19,388;0;0;2.514,00;19,388;TOS;1480.00;;0.00;M.-4526;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4536;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072669;1L-76 OT60K \ 1L-76 PD-R60S;1,1E+11;PR;P-SA-L3;7,712;2.489,00;19,388;996;7,681;1.518,00;11,707;TOS;1480.00;;0.00;M.-4526;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4537;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072666;76/70.305.172 OT60K \ 76/70.305.172 PD-R;1,1E+11;PR;P-SA-V4;9,879;36;0,375;0;0;38;0,375;TOS;1480.00;;0.00;M.-15074;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4538;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072666;76/70.305.172 OT60K \ 76/70.305.172 PD-R;1,1E+11;PR;P-SA-V4;9,879;36;0,375;40;0,395;-2;-0,02;TOS;1480.00;;0.00;M.-15074;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4539;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072666;76/70.305.172 OT60K \ 76/70.305.172 PD-R;1,1E+11;PR;P-SA-V4;9,879;27;0,286;0;0;29;0,286;TOS;1480.00;;0.00;M.-15074;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4540;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072666;76/70.305.172 OT60K \ 76/70.305.172 PD-R;1,1E+11;PR;P-SA-V4;9,879;27;0,286;35;0,346;-6;-0,059;TOS;1480.00;;0.00;M.-15074;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4541;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072666;76/70.305.172 OT60K \ 76/70.305.172 PD-R;1,1E+11;PR;P-SA-V4;9,879;159;1,591;0;0;161;1,591;TOS;1480.00;;0.00;M.-15074;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4542;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072666;76/70.305.172 OT60K \ 76/70.305.172 PD-R;1,1E+11;PR;P-SA-V4;9,879;159;1,591;183;1,808;-22;-0,217;TOS;1480.00;;0.00;M.-15074;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
4543;0;520002534;0;Crisa Libbey México S de RL de CV;20.10.2016;8100072668;76/64.305.172 OT60K \ 76/64.305.172 PD-R;1,1E+11;PR;P-SA-V4;9,474;203;1,942;0;0;205;1,942;TOS;1480.00;;0.00;M.-16141;STANDARD, KAMMERRAHMEN, PD-R60S;OT60K-9.41201.000-S;900684;H001;'@9V@
